code,name,ticker
6750,エレコム(株),6750.T
6651,日東工業(株),6651.T
7105,三菱ロジスネクスト(株),7105.T
6703,ＯＫＩ,6703.T
3865,北越コーポレーション(株),3865.T
3468,スターアジア不動産投資法人,3468.T
9068,丸全昭和運輸(株),9068.T
8923,トーセイ(株),8923.T
3765,ガンホー・オンライン・エンターテイメント(株),3765.T
9715,トランスコスモス(株),9715.T
4628,エスケー化研(株),4628.T
6420,ガリレイ(株),6420.T
8609,(株)岡三証券グループ,8609.T
9672,東京都競馬(株),9672.T
8803,平和不動産(株),8803.T
2815,アリアケジャパン(株),2815.T
7220,武蔵精密工業(株),7220.T
2154,(株)オープンアップグループ,2154.T
8616,東海東京フィナンシャル・ホールディングス(株),8616.T
8388,(株)阿波銀行,8388.T
5273,三谷セキサン(株),5273.T
7458,(株)第一興商,7458.T
8511,日本証券金融(株),8511.T
6807,日本航空電子工業(株),6807.T
9075,福山通運(株),9075.T
3097,(株)物語コーポレーション,3097.T
2602,日清オイリオグループ(株),2602.T
4634,ａｒｔｉｅｎｃｅ(株),4634.T
4478,フリー(株),4478.T
7740,(株)タムロン,7740.T
4521,科研製薬(株),4521.T
9025,鴻池運輸(株),9025.T
3222,ユナイテッド・スーパーマーケット・ホールディングス(株),3222.T
3296,日本リート投資法人,3296.T
8698,マネックスグループ(株),8698.T
8566,リコーリース(株),8566.T
8278,(株)フジ,8278.T
8585,(株)オリエントコーポレーション,8585.T
6366,千代田化工建設(株),6366.T
8130,(株)サンゲツ,8130.T
2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,2124.T
4045,東亞合成(株),4045.T
1946,(株)トーエネック,1946.T
7148,(株)ＦＰＧ,7148.T
7716,(株)ナカニシ,7716.T
9956,(株)バローホールディングス,9956.T
7616,(株)コロワイド,7616.T
5384,(株)フジミインコーポレーテッド,5384.T
8386,(株)百十四銀行,8386.T
3498,霞ヶ関キャピタル(株),3498.T
7864,(株)フジシールインターナショナル,7864.T
7250,太平洋工業(株),7250.T
7476,アズワン(株),7476.T
5482,愛知製鋼(株),5482.T
6407,ＣＫＤ(株),6407.T
8218,(株)コメリ,8218.T
4095,日本パーカライジング(株),4095.T
4722,フューチャー(株),4722.T
4553,東和薬品(株),4553.T
2337,いちご(株),2337.T
4544,Ｈ．Ｕ．グループホールディングス(株),4544.T
2659,(株)サンエー,2659.T
6472,ＮＴＮ(株),6472.T
1377,(株)サカタのタネ,1377.T
6632,(株)ＪＶＣケンウッド,6632.T
7806,(株)ＭＴＧ,7806.T
1934,(株)ユアテック,1934.T
8584,(株)ジャックス,8584.T
2121,(株)ＭＩＸＩ,2121.T
8361,(株)大垣共立銀行,8361.T
8367,(株)南都銀行,8367.T
7296,(株)エフ・シー・シー,7296.T
1950,日本電設工業(株),1950.T
8966,平和不動産リート投資法人,8966.T
7956,ピジョン(株),7956.T
3481,三菱地所物流リート投資法人,3481.T
1333,マルハニチロ(株),1333.T
8987,ジャパンエクセレント投資法人,8987.T
7981,タカラスタンダード(株),7981.T
9948,(株)アークス,9948.T
7846,(株)パイロットコーポレーション,7846.T
4023,(株)クレハ,4023.T
8957,東急リアル・エステート投資法人,8957.T
1766,東建コーポレーション(株),1766.T
9861,(株)吉野家ホールディングス,9861.T
6412,(株)平和,6412.T
8098,稲畑産業(株),8098.T
8154,加賀電子(株),8154.T
7817,パラマウントベッドホールディングス(株),7817.T
4107,伊勢化学工業(株),4107.T
6013,(株)タクマ,6013.T
7744,ノーリツ鋼機(株),7744.T
4041,日本曹達(株),4041.T
2001,(株)ニップン,2001.T
9682,(株)ＤＴＳ,9682.T
9505,北陸電力(株),9505.T
8956,NTT都市開発リート投資法人,8956.T
8544,(株)京葉銀行,8544.T
4784,ＧＭＯインターネット(株),4784.T
3569,セーレン(株),3569.T
4665,(株)ダスキン,4665.T
6736,サン電子(株),6736.T
9936,(株)王将フードサービス,9936.T
8628,松井証券(株),8628.T
5451,(株)ヨドコウ,5451.T
8066,三谷商事(株),8066.T
4547,キッセイ薬品工業(株),4547.T
9746,(株)ＴＫＣ,9746.T
4587,ペプチドリーム(株),4587.T
