code,company_name
4088,エア・ウォーター(株)
7988,(株)ニフコ
6753,シャープ(株)
8418,(株)山口フィナンシャルグループ
2871,(株)ニチレイ
4203,住友ベークライト(株)
4385,(株)メルカリ
3405,(株)クラレ
3269,アドバンス・レジデンス投資法人
9008,京王電鉄(株)
7337,(株)ひろぎんホールディングス
6481,ＴＨＫ(株)
9831,(株)ヤマダホールディングス
1963,日揮ホールディングス(株)
4912,ライオン(株)
6471,日本精工(株)
9468,(株)ＫＡＤＯＫＡＷＡ
6923,スタンレー電気(株)
2784,アルフレッサ　ホールディングス(株)
9065,山九(株)
3116,トヨタ紡織(株)
9533,東邦ガス(株)
7180,(株)九州フィナンシャルグループ
3350,(株)メタプラネット
6268,ナブテスコ(株)
7327,(株)第四北越フィナンシャルグループ
3436,(株)ＳＵＭＣＯ
3132,マクニカホールディングス(株)
2433,(株)博報堂ＤＹホールディングス
7240,ＮＯＫ(株)
6406,フジテック(株)
7189,(株)西日本フィナンシャルホールディングス
9301,三菱倉庫(株)
5393,ニチアス(株)
5233,太平洋セメント(株)
9987,(株)スズケン
9076,セイノーホールディングス(株)
6976,太陽誘電(株)
5711,三菱マテリアル(株)
7729,(株)東京精密
9072,ニッコンホールディングス(株)
7984,コクヨ(株)
2371,(株)カカクコム
8985,ジャパン・ホテル・リート投資法人
5832,(株)ちゅうぎんフィナンシャルグループ
1893,五洋建設(株)
7164,全国保証(株)
4681,リゾートトラスト(株)
4613,関西ペイント(株)
8955,日本プライムリアルティ投資法人
4516,日本新薬(株)
5714,ＤＯＷＡホールディングス(株)
9006,京浜急行電鉄(株)
6770,アルプスアルパイン(株)
8012,長瀬産業(株)
4194,ビジョナル(株)
4967,小林製薬(株)
9449,ＧＭＯインターネットグループ(株)
9605,東映(株)
9706,日本空港ビルデング(株)
4401,(株)ＡＤＥＫＡ
2229,カルビー(株)
1860,戸田建設(株)
8425,みずほリース(株)
2726,(株)パルグループホールディングス
8366,(株)滋賀銀行
9336,大栄環境(株)
8111,(株)ゴールドウイン
6526,(株)ソシオネクスト
3110,日東紡
3471,三井不動産ロジスティクスパーク投資法人
8424,芙蓉総合リース(株)
6674,(株)ジーエス・ユアサ　コーポレーション
9504,中国電力(株)
3249,産業ファンド投資法人
8088,岩谷産業(株)
4666,パーク２４(株)
4205,日本ゼオン(株)
2206,江崎グリコ(株)
3397,(株)トリドールホールディングス
1332,(株)ニッスイ
6592,マブチモーター(株)
6005,三浦工業(株)
