rank,code,company_name,market_cap,scrape_date
178,4004,(株)レゾナック・ホールディングス,1148977,2025-12-07
179,5201,ＡＧＣ(株),1136749,2025-12-07
180,3064,(株)ＭｏｎｏｔａＲＯ,1134066,2025-12-07
181,9684,(株)スクウェア・エニックス・ホールディングス,1115650,2025-12-07
182,4204,積水化学工業(株),1100161,2025-12-07
183,9005,東急(株),1098521,2025-12-07
184,6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,1093427,2025-12-07
185,8729,ソニーフィナンシャルグループ(株),1074549,2025-12-07
186,4528,小野薬品工業(株),1048751,2025-12-07
187,9501,東京電力ホールディングス(株),1035884,2025-12-07
188,5706,三井金属(株),1032617,2025-12-07
189,6532,(株)ベイカレント,1031621,2025-12-07
190,5844,(株)京都フィナンシャルグループ,1028551,2025-12-07
191,3288,(株)オープンハウスグループ,1022589,2025-12-07
192,3038,(株)神戸物産,1017245,2025-12-07
193,3289,東急不動産ホールディングス(株),1010643,2025-12-07
194,4704,トレンドマイクロ(株),1009842,2025-12-07
195,5101,横浜ゴム(株),1003869,2025-12-07
196,6305,日立建機(株),1002436,2025-12-07
197,9404,日本テレビホールディングス(株),1000150,2025-12-07
198,1911,住友林業(株),998968,2025-12-07
199,1878,大東建託(株),993295,2025-12-07
200,2768,双日(株),984900,2025-12-07
201,5333,日本ガイシ(株),982364,2025-12-07
202,1942,(株)関電工,979431,2025-12-07
203,7167,(株)めぶきフィナンシャルグループ,978782,2025-12-07
204,4506,住友ファーマ(株),971274,2025-12-07
205,9042,阪急阪神ホールディングス(株),966256,2025-12-07
206,9143,ＳＧホールディングス(株),963473,2025-12-07
207,8439,東京センチュリー(株),947318,2025-12-07
208,6269,三井海洋開発(株),938381,2025-12-07
209,4911,(株)資生堂,938000,2025-12-07
210,9023,東京地下鉄(株),934829,2025-12-07
211,8354,(株)ふくおかフィナンシャルグループ,932755,2025-12-07
212,6869,シスメックス(株),918097,2025-12-07
213,9401,(株)ＴＢＳホールディングス,915553,2025-12-07
214,2269,明治ホールディングス(株),912353,2025-12-07
215,4324,(株)電通グループ,907175,2025-12-07
216,8952,ジャパンリアルエステイト投資法人,904942,2025-12-07
217,6963,ローム(株),885849,2025-12-07
218,3563,(株)ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,882938,2025-12-07
219,5929,三和ホールディングス(株),878475,2025-12-07
220,3099,(株)三越伊勢丹ホールディングス,872415,2025-12-07
221,1808,(株)長谷工コーポレーション,871702,2025-12-07
222,8953,日本都市ファンド投資法人,858102,2025-12-07
223,2702,日本マクドナルドホールディングス(株),850944,2025-12-07
224,6645,オムロン(株),847873,2025-12-07
225,8359,(株)八十二銀行,844342,2025-12-07
226,3231,野村不動産ホールディングス(株),842812,2025-12-07
227,2897,日清食品ホールディングス(株),842015,2025-12-07
228,3861,王子ホールディングス(株),820026,2025-12-07
229,8227,(株)しまむら,812462,2025-12-07
230,7747,朝日インテック(株),812182,2025-12-07
231,4732,(株)ユー・エス・エス,807459,2025-12-07
232,5830,(株)いよぎんホールディングス,802170,2025-12-07
233,4676,(株)フジ・メディア・ホールディングス,798837,2025-12-07
234,3197,(株)すかいらーくホールディングス,795575,2025-12-07
235,6448,ブラザー工業(株),793115,2025-12-07
236,2267,(株)ヤクルト本社,792947,2025-12-07
237,9064,ヤマトホールディングス(株),782097,2025-12-07
238,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス(株),780759,2025-12-07
239,3769,ＧＭＯペイメントゲートウェイ(株),777059,2025-12-07
240,7752,(株)リコー,776831,2025-12-07
241,6845,アズビル(株),772268,2025-12-07
242,3462,野村不動産マスターファンド投資法人,772226,2025-12-07
243,5406,(株)神戸製鋼所,769308,2025-12-07
244,9508,九州電力(株),767704,2025-12-07
245,2327,日鉄ソリューションズ(株),765497,2025-12-07
246,4186,東京応化工業(株),764755,2025-12-07
247,4005,住友化学(株),763635,2025-12-07
248,4183,三井化学(株),761198,2025-12-07
249,6370,栗田工業(株),758674,2025-12-07
250,8060,キヤノンマーケティングジャパン(株),757899,2025-12-07
251,6465,ホシザキ(株),752125,2025-12-07
252,3283,日本プロロジスリート投資法人,749147,2025-12-07
253,4403,日油(株),745761,2025-12-07
254,4042,東ソー(株),744760,2025-12-07
255,8572,アコム(株),737719,2025-12-07
256,8253,(株)クレディセゾン,736958,2025-12-07
257,6724,セイコーエプソン(株),715579,2025-12-07
258,7261,マツダ(株),708884,2025-12-07
259,4021,日産化学(株),703308,2025-12-07
260,2212,山崎製パン(株),697195,2025-12-07
261,8972,KDX不動産投資法人,695550,2025-12-07
262,8804,東京建物(株),692153,2025-12-07
263,3281,ＧＬＰ投資法人,688474,2025-12-07
264,7276,(株)小糸製作所,687545,2025-12-07
265,5801,古河電気工業(株),687377,2025-12-07
266,8334,(株)群馬銀行,686866,2025-12-07
267,4751,(株)サイバーエージェント,684928,2025-12-07
268,7649,スギホールディングス(株),683783,2025-12-07
269,3635,(株)コーエーテクモホールディングス,679924,2025-12-07
270,5332,ＴＯＴＯ(株),678742,2025-12-07
271,5631,(株)日本製鋼所,678301,2025-12-07
272,3291,飯田グループホールディングス(株),674452,2025-12-07
273,5021,コスモエネルギーホールディングス(株),672875,2025-12-07
274,9962,(株)ミスミグループ本社,661678,2025-12-07
275,2670,(株)エービーシー・マート,661514,2025-12-07
276,2282,日本ハム(株),661162,2025-12-07
277,6417,(株)ＳＡＮＫＹＯ,658060,2025-12-07
278,7003,(株)三井Ｅ＆Ｓ,648285,2025-12-07
279,4733,(株)オービックビジネスコンサルタント,647042,2025-12-07
